date,well,find,chem,area,wqo
6/3/1991,03N23W_Ventura_NYE_01,245,sulfate,casitas,300
6/3/1991,03N23W_Ventura_NYE_01,804,tds,casitas,800
2/11/1993,03N23W_Ventura_NYE_01,5.15052,nitrate_as_n,casitas,10
2/11/1993,03N23W_Ventura_NYE_01,22.8,nitrate_as_no3,casitas,45
9/11/1995,03N23W_Ventura_NYE_01,0.32,boron,casitas,0.5
9/11/1995,03N23W_Ventura_NYE_01,26,chloride,casitas,100
9/11/1995,03N23W_Ventura_NYE_01,1.8072,nitrate_as_n,casitas,10
9/11/1995,03N23W_Ventura_NYE_01,8,nitrate_as_no3,casitas,45
9/11/1995,03N23W_Ventura_NYE_01,262,sulfate,casitas,300
9/11/1995,03N23W_Ventura_NYE_01,692,tds,casitas,800
11/6/1995,03N23W_Ventura_NYE_01,0.43,boron,casitas,0.5
11/6/1995,03N23W_Ventura_NYE_01,31,chloride,casitas,100
11/6/1995,03N23W_Ventura_NYE_01,1.49094,nitrate_as_n,casitas,10
11/6/1995,03N23W_Ventura_NYE_01,6.6,nitrate_as_no3,casitas,45
11/6/1995,03N23W_Ventura_NYE_01,259,sulfate,casitas,300
11/6/1995,03N23W_Ventura_NYE_01,656,tds,casitas,800
12/4/1995,03N23W_Ventura_NYE_01,0.36,boron,casitas,0.5
12/4/1995,03N23W_Ventura_NYE_01,29,chloride,casitas,100
12/4/1995,03N23W_Ventura_NYE_01,1.49094,nitrate_as_n,casitas,10
12/4/1995,03N23W_Ventura_NYE_01,6.6,nitrate_as_no3,casitas,45
12/4/1995,03N23W_Ventura_NYE_01,253,sulfate,casitas,300
12/4/1995,03N23W_Ventura_NYE_01,424,tds,casitas,800
3/4/1996,03N23W_Ventura_NYE_01,0.25,boron,casitas,0.5
3/4/1996,03N23W_Ventura_NYE_01,32,chloride,casitas,100
3/4/1996,03N23W_Ventura_NYE_01,2.10087,nitrate_as_n,casitas,10
3/4/1996,03N23W_Ventura_NYE_01,9.3,nitrate_as_no3,casitas,45
3/4/1996,03N23W_Ventura_NYE_01,252,sulfate,casitas,300
3/4/1996,03N23W_Ventura_NYE_01,688,tds,casitas,800
4/1/1996,03N23W_Ventura_NYE_01,0.33,boron,casitas,0.5
4/1/1996,03N23W_Ventura_NYE_01,39,chloride,casitas,100
4/1/1996,03N23W_Ventura_NYE_01,2.19123,nitrate_as_n,casitas,10
4/1/1996,03N23W_Ventura_NYE_01,9.7,nitrate_as_no3,casitas,45
4/1/1996,03N23W_Ventura_NYE_01,268,sulfate,casitas,300
4/1/1996,03N23W_Ventura_NYE_01,692,tds,casitas,800
5/6/1996,03N23W_Ventura_NYE_01,0.35,boron,casitas,0.5
5/6/1996,03N23W_Ventura_NYE_01,39,chloride,casitas,100
5/6/1996,03N23W_Ventura_NYE_01,1.49094,nitrate_as_n,casitas,10
5/6/1996,03N23W_Ventura_NYE_01,6.6,nitrate_as_no3,casitas,45
5/6/1996,03N23W_Ventura_NYE_01,264,sulfate,casitas,300
5/6/1996,03N23W_Ventura_NYE_01,680,tds,casitas,800
7/1/1996,03N23W_Ventura_NYE_01,0.3,boron,casitas,0.5
7/1/1996,03N23W_Ventura_NYE_01,33,chloride,casitas,100
7/1/1996,03N23W_Ventura_NYE_01,1.89756,nitrate_as_n,casitas,10
7/1/1996,03N23W_Ventura_NYE_01,8.4,nitrate_as_no3,casitas,45
7/1/1996,03N23W_Ventura_NYE_01,249,sulfate,casitas,300
7/1/1996,03N23W_Ventura_NYE_01,784,tds,casitas,800
8/5/1996,03N23W_Ventura_NYE_01,0.29,boron,casitas,0.5
8/5/1996,03N23W_Ventura_NYE_01,37,chloride,casitas,100
8/5/1996,03N23W_Ventura_NYE_01,0.99396,nitrate_as_n,casitas,10
8/5/1996,03N23W_Ventura_NYE_01,4.4,nitrate_as_no3,casitas,45
8/5/1996,03N23W_Ventura_NYE_01,250,sulfate,casitas,300
8/5/1996,03N23W_Ventura_NYE_01,668,tds,casitas,800
9/9/1996,03N23W_Ventura_NYE_01,0.29,boron,casitas,0.5
9/9/1996,03N23W_Ventura_NYE_01,33,chloride,casitas,100
9/9/1996,03N23W_Ventura_NYE_01,0.99396,nitrate_as_n,casitas,10
9/9/1996,03N23W_Ventura_NYE_01,4.4,nitrate_as_no3,casitas,45
9/9/1996,03N23W_Ventura_NYE_01,274,sulfate,casitas,300
9/9/1996,03N23W_Ventura_NYE_01,732,tds,casitas,800
10/7/1996,03N23W_Ventura_NYE_01,0.33,boron,casitas,0.5
10/7/1996,03N23W_Ventura_NYE_01,31,chloride,casitas,100
10/7/1996,03N23W_Ventura_NYE_01,0.99396,nitrate_as_n,casitas,10
10/7/1996,03N23W_Ventura_NYE_01,4.4,nitrate_as_no3,casitas,45
10/7/1996,03N23W_Ventura_NYE_01,237,sulfate,casitas,300
10/7/1996,03N23W_Ventura_NYE_01,612,tds,casitas,800
11/4/1996,03N23W_Ventura_NYE_01,0.54,boron,casitas,0.5
11/4/1996,03N23W_Ventura_NYE_01,39,chloride,casitas,100
11/4/1996,03N23W_Ventura_NYE_01,1.10691,nitrate_as_n,casitas,10
11/4/1996,03N23W_Ventura_NYE_01,4.9,nitrate_as_no3,casitas,45
11/4/1996,03N23W_Ventura_NYE_01,257,sulfate,casitas,300
11/4/1996,03N23W_Ventura_NYE_01,692,tds,casitas,800
12/2/1996,03N23W_Ventura_NYE_01,0.52,boron,casitas,0.5
12/2/1996,03N23W_Ventura_NYE_01,42,chloride,casitas,100
12/2/1996,03N23W_Ventura_NYE_01,1.60389,nitrate_as_n,casitas,10
12/2/1996,03N23W_Ventura_NYE_01,7.1,nitrate_as_no3,casitas,45
12/2/1996,03N23W_Ventura_NYE_01,244,sulfate,casitas,300
12/2/1996,03N23W_Ventura_NYE_01,720,tds,casitas,800
1/6/1997,03N23W_Ventura_NYE_01,0.34,boron,casitas,0.5
1/6/1997,03N23W_Ventura_NYE_01,42,chloride,casitas,100
1/6/1997,03N23W_Ventura_NYE_01,2.30418,nitrate_as_n,casitas,10
1/6/1997,03N23W_Ventura_NYE_01,10.2,nitrate_as_no3,casitas,45
1/6/1997,03N23W_Ventura_NYE_01,258,sulfate,casitas,300
1/6/1997,03N23W_Ventura_NYE_01,664,tds,casitas,800
2/3/1997,03N23W_Ventura_NYE_01,0.36,boron,casitas,0.5
2/3/1997,03N23W_Ventura_NYE_01,37,chloride,casitas,100
2/3/1997,03N23W_Ventura_NYE_01,3.09483,nitrate_as_n,casitas,10
2/3/1997,03N23W_Ventura_NYE_01,13.7,nitrate_as_no3,casitas,45
2/3/1997,03N23W_Ventura_NYE_01,272,sulfate,casitas,300
2/3/1997,03N23W_Ventura_NYE_01,712,tds,casitas,800
3/3/1997,03N23W_Ventura_NYE_01,0.36,boron,casitas,0.5
3/3/1997,03N23W_Ventura_NYE_01,33,chloride,casitas,100
3/3/1997,03N23W_Ventura_NYE_01,2.39454,nitrate_as_n,casitas,10
3/3/1997,03N23W_Ventura_NYE_01,10.6,nitrate_as_no3,casitas,45
3/3/1997,03N23W_Ventura_NYE_01,270,sulfate,casitas,300
3/3/1997,03N23W_Ventura_NYE_01,672,tds,casitas,800
4/7/1997,03N23W_Ventura_NYE_01,0.29,boron,casitas,0.5
4/7/1997,03N23W_Ventura_NYE_01,38,chloride,casitas,100
4/7/1997,03N23W_Ventura_NYE_01,2.80116,nitrate_as_n,casitas,10
4/7/1997,03N23W_Ventura_NYE_01,12.4,nitrate_as_no3,casitas,45
4/7/1997,03N23W_Ventura_NYE_01,264,sulfate,casitas,300
4/7/1997,03N23W_Ventura_NYE_01,692,tds,casitas,800
5/5/1997,03N23W_Ventura_NYE_01,0.31,boron,casitas,0.5
5/5/1997,03N23W_Ventura_NYE_01,41,chloride,casitas,100
5/5/1997,03N23W_Ventura_NYE_01,2.30418,nitrate_as_n,casitas,10
5/5/1997,03N23W_Ventura_NYE_01,10.2,nitrate_as_no3,casitas,45
5/5/1997,03N23W_Ventura_NYE_01,257,sulfate,casitas,300
5/5/1997,03N23W_Ventura_NYE_01,720,tds,casitas,800
6/2/1997,03N23W_Ventura_NYE_01,0.28,boron,casitas,0.5
6/2/1997,03N23W_Ventura_NYE_01,38,chloride,casitas,100
6/2/1997,03N23W_Ventura_NYE_01,38,chloride,casitas,100
6/2/1997,03N23W_Ventura_NYE_01,2.19123,nitrate_as_n,casitas,10
6/2/1997,03N23W_Ventura_NYE_01,2.30418,nitrate_as_n,casitas,10
6/2/1997,03N23W_Ventura_NYE_01,9.7,nitrate_as_no3,casitas,45
6/2/1997,03N23W_Ventura_NYE_01,10.2,nitrate_as_no3,casitas,45
6/2/1997,03N23W_Ventura_NYE_01,245,sulfate,casitas,300
6/2/1997,03N23W_Ventura_NYE_01,236,sulfate,casitas,300
6/2/1997,03N23W_Ventura_NYE_01,660,tds,casitas,800
6/2/1997,03N23W_Ventura_NYE_01,640,tds,casitas,800
7/7/1997,03N23W_Ventura_NYE_01,0.38,boron,casitas,0.5
7/7/1997,03N23W_Ventura_NYE_01,45,chloride,casitas,100
7/7/1997,03N23W_Ventura_NYE_01,1.69425,nitrate_as_n,casitas,10
7/7/1997,03N23W_Ventura_NYE_01,7.5,nitrate_as_no3,casitas,45
7/7/1997,03N23W_Ventura_NYE_01,241,sulfate,casitas,300
7/7/1997,03N23W_Ventura_NYE_01,704,tds,casitas,800
8/4/1997,03N23W_Ventura_NYE_01,0.37,boron,casitas,0.5
8/4/1997,03N23W_Ventura_NYE_01,41,chloride,casitas,100
8/4/1997,03N23W_Ventura_NYE_01,1.40058,nitrate_as_n,casitas,10
8/4/1997,03N23W_Ventura_NYE_01,6.2,nitrate_as_no3,casitas,45
8/4/1997,03N23W_Ventura_NYE_01,238,sulfate,casitas,300
8/4/1997,03N23W_Ventura_NYE_01,736,tds,casitas,800
9/8/1997,03N23W_Ventura_NYE_01,0.44,boron,casitas,0.5
9/8/1997,03N23W_Ventura_NYE_01,42,chloride,casitas,100
9/8/1997,03N23W_Ventura_NYE_01,1.10691,nitrate_as_n,casitas,10
9/8/1997,03N23W_Ventura_NYE_01,4.9,nitrate_as_no3,casitas,45
9/8/1997,03N23W_Ventura_NYE_01,249,sulfate,casitas,300
9/8/1997,03N23W_Ventura_NYE_01,685,tds,casitas,800
10/6/1997,03N23W_Ventura_NYE_01,0.36,boron,casitas,0.5
10/6/1997,03N23W_Ventura_NYE_01,41,chloride,casitas,100
10/6/1997,03N23W_Ventura_NYE_01,1.49094,nitrate_as_n,casitas,10
10/6/1997,03N23W_Ventura_NYE_01,6.6,nitrate_as_no3,casitas,45
10/6/1997,03N23W_Ventura_NYE_01,246,sulfate,casitas,300
10/6/1997,03N23W_Ventura_NYE_01,612,tds,casitas,800
11/3/1997,03N23W_Ventura_NYE_01,0.38,boron,casitas,0.5
11/3/1997,03N23W_Ventura_NYE_01,39,chloride,casitas,100
11/3/1997,03N23W_Ventura_NYE_01,1.40058,nitrate_as_n,casitas,10
11/3/1997,03N23W_Ventura_NYE_01,6.2,nitrate_as_no3,casitas,45
11/3/1997,03N23W_Ventura_NYE_01,248,sulfate,casitas,300
11/3/1997,03N23W_Ventura_NYE_01,684,tds,casitas,800
12/1/1997,03N23W_Ventura_NYE_01,0.39,boron,casitas,0.5
12/1/1997,03N23W_Ventura_NYE_01,42,chloride,casitas,100
12/1/1997,03N23W_Ventura_NYE_01,1.89756,nitrate_as_n,casitas,10
12/1/1997,03N23W_Ventura_NYE_01,8.4,nitrate_as_no3,casitas,45
12/1/1997,03N23W_Ventura_NYE_01,229,sulfate,casitas,300
12/1/1997,03N23W_Ventura_NYE_01,720,tds,casitas,800
1/5/1998,03N23W_Ventura_NYE_01,0.35,boron,casitas,0.5
1/5/1998,03N23W_Ventura_NYE_01,48,chloride,casitas,100
1/5/1998,03N23W_Ventura_NYE_01,2.01051,nitrate_as_n,casitas,10
1/5/1998,03N23W_Ventura_NYE_01,8.9,nitrate_as_no3,casitas,45
1/5/1998,03N23W_Ventura_NYE_01,241,sulfate,casitas,300
1/5/1998,03N23W_Ventura_NYE_01,568,tds,casitas,800
7/6/1998,03N23W_Ventura_NYE_01,0.29,boron,casitas,0.5
7/6/1998,03N23W_Ventura_NYE_01,22,chloride,casitas,100
7/6/1998,03N23W_Ventura_NYE_01,2.80116,nitrate_as_n,casitas,10
7/6/1998,03N23W_Ventura_NYE_01,12.4,nitrate_as_no3,casitas,45
7/6/1998,03N23W_Ventura_NYE_01,301,sulfate,casitas,300
7/6/1998,03N23W_Ventura_NYE_01,748,tds,casitas,800
8/3/1998,03N23W_Ventura_NYE_01,0.33,boron,casitas,0.5
8/3/1998,03N23W_Ventura_NYE_01,22,chloride,casitas,100
8/3/1998,03N23W_Ventura_NYE_01,2.01051,nitrate_as_n,casitas,10
8/3/1998,03N23W_Ventura_NYE_01,8.9,nitrate_as_no3,casitas,45
8/3/1998,03N23W_Ventura_NYE_01,273,sulfate,casitas,300
8/3/1998,03N23W_Ventura_NYE_01,796,tds,casitas,800
9/14/1998,03N23W_Ventura_NYE_01,0.34,boron,casitas,0.5
9/14/1998,03N23W_Ventura_NYE_01,19,chloride,casitas,100
9/14/1998,03N23W_Ventura_NYE_01,1.49094,nitrate_as_n,casitas,10
9/14/1998,03N23W_Ventura_NYE_01,6.6,nitrate_as_no3,casitas,45
9/14/1998,03N23W_Ventura_NYE_01,258,sulfate,casitas,300
9/14/1998,03N23W_Ventura_NYE_01,664,tds,casitas,800
10/5/1998,03N23W_Ventura_NYE_01,0.32,boron,casitas,0.5
10/5/1998,03N23W_Ventura_NYE_01,19,chloride,casitas,100
10/5/1998,03N23W_Ventura_NYE_01,1.19727,nitrate_as_n,casitas,10
10/5/1998,03N23W_Ventura_NYE_01,5.3,nitrate_as_no3,casitas,45
10/5/1998,03N23W_Ventura_NYE_01,260,sulfate,casitas,300
10/5/1998,03N23W_Ventura_NYE_01,748,tds,casitas,800
11/3/1998,03N23W_Ventura_NYE_01,0.32,boron,casitas,0.5
11/3/1998,03N23W_Ventura_NYE_01,27,chloride,casitas,100
11/3/1998,03N23W_Ventura_NYE_01,1.8072,nitrate_as_n,casitas,10
11/3/1998,03N23W_Ventura_NYE_01,8,nitrate_as_no3,casitas,45
11/3/1998,03N23W_Ventura_NYE_01,256,sulfate,casitas,300
11/3/1998,03N23W_Ventura_NYE_01,664,tds,casitas,800
12/7/1998,03N23W_Ventura_NYE_01,0.33,boron,casitas,0.5
12/7/1998,03N23W_Ventura_NYE_01,28,chloride,casitas,100
12/7/1998,03N23W_Ventura_NYE_01,1.60389,nitrate_as_n,casitas,10
12/7/1998,03N23W_Ventura_NYE_01,7.1,nitrate_as_no3,casitas,45
12/7/1998,03N23W_Ventura_NYE_01,265,sulfate,casitas,300
12/7/1998,03N23W_Ventura_NYE_01,660,tds,casitas,800
1/4/1999,03N23W_Ventura_NYE_01,0.4,boron,casitas,0.5
1/4/1999,03N23W_Ventura_NYE_01,33,chloride,casitas,100
1/4/1999,03N23W_Ventura_NYE_01,1.49094,nitrate_as_n,casitas,10
1/4/1999,03N23W_Ventura_NYE_01,6.6,nitrate_as_no3,casitas,45
1/4/1999,03N23W_Ventura_NYE_01,291,sulfate,casitas,300
1/4/1999,03N23W_Ventura_NYE_01,620,tds,casitas,800
2/1/1999,03N23W_Ventura_NYE_01,0.26,boron,casitas,0.5
2/1/1999,03N23W_Ventura_NYE_01,38,chloride,casitas,100
2/1/1999,03N23W_Ventura_NYE_01,2.30418,nitrate_as_n,casitas,10
2/1/1999,03N23W_Ventura_NYE_01,10.2,nitrate_as_no3,casitas,45
2/1/1999,03N23W_Ventura_NYE_01,272,sulfate,casitas,300
2/1/1999,03N23W_Ventura_NYE_01,644,tds,casitas,800
3/1/1999,03N23W_Ventura_NYE_01,0.33,boron,casitas,0.5
3/1/1999,03N23W_Ventura_NYE_01,36,chloride,casitas,100
3/1/1999,03N23W_Ventura_NYE_01,2.30418,nitrate_as_n,casitas,10
3/1/1999,03N23W_Ventura_NYE_01,10.2,nitrate_as_no3,casitas,45
3/1/1999,03N23W_Ventura_NYE_01,287,sulfate,casitas,300
3/1/1999,03N23W_Ventura_NYE_01,712,tds,casitas,800
4/5/1999,03N23W_Ventura_NYE_01,0.29,boron,casitas,0.5
4/5/1999,03N23W_Ventura_NYE_01,34,chloride,casitas,100
4/5/1999,03N23W_Ventura_NYE_01,1.60389,nitrate_as_n,casitas,10
4/5/1999,03N23W_Ventura_NYE_01,7.1,nitrate_as_no3,casitas,45
4/5/1999,03N23W_Ventura_NYE_01,287,sulfate,casitas,300
4/5/1999,03N23W_Ventura_NYE_01,688,tds,casitas,800
5/10/1999,03N23W_Ventura_NYE_01,0.35,boron,casitas,0.5
5/10/1999,03N23W_Ventura_NYE_01,36,chloride,casitas,100
5/10/1999,03N23W_Ventura_NYE_01,1.60389,nitrate_as_n,casitas,10
5/10/1999,03N23W_Ventura_NYE_01,7.1,nitrate_as_no3,casitas,45
5/10/1999,03N23W_Ventura_NYE_01,281,sulfate,casitas,300
5/10/1999,03N23W_Ventura_NYE_01,692,tds,casitas,800
6/7/1999,03N23W_Ventura_NYE_01,0.26,boron,casitas,0.5
6/7/1999,03N23W_Ventura_NYE_01,34,chloride,casitas,100
6/7/1999,03N23W_Ventura_NYE_01,1.40058,nitrate_as_n,casitas,10
6/7/1999,03N23W_Ventura_NYE_01,6.2,nitrate_as_no3,casitas,45
6/7/1999,03N23W_Ventura_NYE_01,263,sulfate,casitas,300
6/7/1999,03N23W_Ventura_NYE_01,592,tds,casitas,800
7/12/1999,03N23W_Ventura_NYE_01,0.26,boron,casitas,0.5
7/12/1999,03N23W_Ventura_NYE_01,32,chloride,casitas,100
7/12/1999,03N23W_Ventura_NYE_01,1.10691,nitrate_as_n,casitas,10
7/12/1999,03N23W_Ventura_NYE_01,4.9,nitrate_as_no3,casitas,45
7/12/1999,03N23W_Ventura_NYE_01,259,sulfate,casitas,300
7/12/1999,03N23W_Ventura_NYE_01,696,tds,casitas,800
8/9/1999,03N23W_Ventura_NYE_01,0.31,boron,casitas,0.5
8/9/1999,03N23W_Ventura_NYE_01,32,chloride,casitas,100
8/9/1999,03N23W_Ventura_NYE_01,0.99396,nitrate_as_n,casitas,10
8/9/1999,03N23W_Ventura_NYE_01,4.4,nitrate_as_no3,casitas,45
8/9/1999,03N23W_Ventura_NYE_01,248,sulfate,casitas,300
8/9/1999,03N23W_Ventura_NYE_01,716,tds,casitas,800
9/13/1999,03N23W_Ventura_NYE_01,0.35,boron,casitas,0.5
9/13/1999,03N23W_Ventura_NYE_01,31,chloride,casitas,100
9/13/1999,03N23W_Ventura_NYE_01,0.92619,nitrate_as_n,casitas,10
9/13/1999,03N23W_Ventura_NYE_01,4.1,nitrate_as_no3,casitas,45
9/13/1999,03N23W_Ventura_NYE_01,253,sulfate,casitas,300
9/13/1999,03N23W_Ventura_NYE_01,652,tds,casitas,800
10/4/1999,03N23W_Ventura_NYE_01,0.33,boron,casitas,0.5
10/4/1999,03N23W_Ventura_NYE_01,32,chloride,casitas,100
10/4/1999,03N23W_Ventura_NYE_01,0.99396,nitrate_as_n,casitas,10
10/4/1999,03N23W_Ventura_NYE_01,4.4,nitrate_as_no3,casitas,45
10/4/1999,03N23W_Ventura_NYE_01,256,sulfate,casitas,300
10/4/1999,03N23W_Ventura_NYE_01,676,tds,casitas,800
11/1/1999,03N23W_Ventura_NYE_01,0.33,boron,casitas,0.5
11/1/1999,03N23W_Ventura_NYE_01,25,chloride,casitas,100
11/1/1999,03N23W_Ventura_NYE_01,3.29814,nitrate_as_n,casitas,10
11/1/1999,03N23W_Ventura_NYE_01,14.6,nitrate_as_no3,casitas,45
11/1/1999,03N23W_Ventura_NYE_01,241,sulfate,casitas,300
11/1/1999,03N23W_Ventura_NYE_01,636,tds,casitas,800
12/6/1999,03N23W_Ventura_NYE_01,0.34,boron,casitas,0.5
12/6/1999,03N23W_Ventura_NYE_01,38,chloride,casitas,100
12/6/1999,03N23W_Ventura_NYE_01,0.40662,nitrate_as_n,casitas,10
12/6/1999,03N23W_Ventura_NYE_01,1.8,nitrate_as_no3,casitas,45
12/6/1999,03N23W_Ventura_NYE_01,242,sulfate,casitas,300
12/6/1999,03N23W_Ventura_NYE_01,648,tds,casitas,800
1/10/2000,03N23W_Ventura_NYE_01,0.3,boron,casitas,0.5
1/10/2000,03N23W_Ventura_NYE_01,36,chloride,casitas,100
1/10/2000,03N23W_Ventura_NYE_01,1.31022,nitrate_as_n,casitas,10
1/10/2000,03N23W_Ventura_NYE_01,5.8,nitrate_as_no3,casitas,45
1/10/2000,03N23W_Ventura_NYE_01,242,sulfate,casitas,300
1/10/2000,03N23W_Ventura_NYE_01,612,tds,casitas,800
2/7/2000,03N23W_Ventura_NYE_01,0.38,boron,casitas,0.5
2/7/2000,03N23W_Ventura_NYE_01,38,chloride,casitas,100
2/7/2000,03N23W_Ventura_NYE_01,0.9036,nitrate_as_n,casitas,10
2/7/2000,03N23W_Ventura_NYE_01,4,nitrate_as_no3,casitas,45
2/7/2000,03N23W_Ventura_NYE_01,232,sulfate,casitas,300
2/7/2000,03N23W_Ventura_NYE_01,688,tds,casitas,800
3/6/2000,03N23W_Ventura_NYE_01,0,boron,casitas,0.5
3/6/2000,03N23W_Ventura_NYE_01,37,chloride,casitas,100
3/6/2000,03N23W_Ventura_NYE_01,1.8072,nitrate_as_n,casitas,10
3/6/2000,03N23W_Ventura_NYE_01,8,nitrate_as_no3,casitas,45
3/6/2000,03N23W_Ventura_NYE_01,251,sulfate,casitas,300
3/6/2000,03N23W_Ventura_NYE_01,884,tds,casitas,800
4/3/2000,03N23W_Ventura_NYE_01,0,boron,casitas,0.5
4/3/2000,03N23W_Ventura_NYE_01,34,chloride,casitas,100
4/3/2000,03N23W_Ventura_NYE_01,2.0331,nitrate_as_n,casitas,10
4/3/2000,03N23W_Ventura_NYE_01,9,nitrate_as_no3,casitas,45
4/3/2000,03N23W_Ventura_NYE_01,301,sulfate,casitas,300
4/3/2000,03N23W_Ventura_NYE_01,764,tds,casitas,800
9/11/2000,03N23W_Ventura_NYE_01,0,boron,casitas,0.5
9/11/2000,03N23W_Ventura_NYE_01,33,chloride,casitas,100
9/11/2000,03N23W_Ventura_NYE_01,0.4518,nitrate_as_n,casitas,10
9/11/2000,03N23W_Ventura_NYE_01,2,nitrate_as_no3,casitas,45
9/11/2000,03N23W_Ventura_NYE_01,211,sulfate,casitas,300
9/11/2000,03N23W_Ventura_NYE_01,754,tds,casitas,800
10/2/2000,03N23W_Ventura_NYE_01,0,boron,casitas,0.5
10/2/2000,03N23W_Ventura_NYE_01,23,chloride,casitas,100
10/2/2000,03N23W_Ventura_NYE_01,0.9036,nitrate_as_n,casitas,10
10/2/2000,03N23W_Ventura_NYE_01,4,nitrate_as_no3,casitas,45
10/2/2000,03N23W_Ventura_NYE_01,185,sulfate,casitas,300
10/2/2000,03N23W_Ventura_NYE_01,644,tds,casitas,800
11/6/2000,03N23W_Ventura_NYE_01,0.48,boron,casitas,0.5
11/6/2000,03N23W_Ventura_NYE_01,37,chloride,casitas,100
11/6/2000,03N23W_Ventura_NYE_01,0.99396,nitrate_as_n,casitas,10
11/6/2000,03N23W_Ventura_NYE_01,4.4,nitrate_as_no3,casitas,45
11/6/2000,03N23W_Ventura_NYE_01,254,sulfate,casitas,300
11/6/2000,03N23W_Ventura_NYE_01,484,tds,casitas,800
12/4/2000,03N23W_Ventura_NYE_01,0.46,boron,casitas,0.5
12/4/2000,03N23W_Ventura_NYE_01,39,chloride,casitas,100
12/4/2000,03N23W_Ventura_NYE_01,0.99396,nitrate_as_n,casitas,10
12/4/2000,03N23W_Ventura_NYE_01,4.4,nitrate_as_no3,casitas,45
12/4/2000,03N23W_Ventura_NYE_01,255,sulfate,casitas,300
12/4/2000,03N23W_Ventura_NYE_01,616,tds,casitas,800
1/8/2001,03N23W_Ventura_NYE_01,0.42,boron,casitas,0.5
1/8/2001,03N23W_Ventura_NYE_01,42,chloride,casitas,100
1/8/2001,03N23W_Ventura_NYE_01,1.19727,nitrate_as_n,casitas,10
1/8/2001,03N23W_Ventura_NYE_01,5.3,nitrate_as_no3,casitas,45
1/8/2001,03N23W_Ventura_NYE_01,260,sulfate,casitas,300
1/8/2001,03N23W_Ventura_NYE_01,708,tds,casitas,800
2/5/2001,03N23W_Ventura_NYE_01,0.37,boron,casitas,0.5
2/5/2001,03N23W_Ventura_NYE_01,45,chloride,casitas,100
2/5/2001,03N23W_Ventura_NYE_01,1.49094,nitrate_as_n,casitas,10
2/5/2001,03N23W_Ventura_NYE_01,6.6,nitrate_as_no3,casitas,45
2/5/2001,03N23W_Ventura_NYE_01,230,sulfate,casitas,300
2/5/2001,03N23W_Ventura_NYE_01,622,tds,casitas,800
8/5/2002,03N23W_Ventura_NYE_01,0.327,boron,casitas,0.5
